index,func,name
COG1207,M,"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase"
COG0432,H,"Thiamin phosphate synthase YjbQ, UPF0047 family"
COG0561,HR,Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases
COG1234,J,"Ribonuclease BN, tRNA processing enzyme"
COG0481,J,"Translation elongation factor EF-4, membrane-bound GTPase"
COG0042,J,tRNA-dihydrouridine synthase
COG4591,M,"ABC-type transport system, involved in lipoprotein release, permease component"
COG0858,J,Ribosome-binding factor A
COG0307,H,Riboflavin synthase alpha chain
COG1995,H,4-hydroxy-L-threonine phosphate dehydrogenase PdxA
COG1399,S,"Uncharacterized metal-binding protein YceD, DUF177 family"
COG0511,HI,Biotin carboxyl carrier protein
COG0439,I,Biotin carboxylase
COG0744,M,Membrane carboxypeptidase (penicillin-binding protein)
COG0587,L,"DNA polymerase III, alpha subunit"
COG0389,L,Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG2103,M,N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase
COG1878,E,Kynurenine formamidase
COG1607,I,Acyl-CoA hydrolase
COG1322,L,DNA anti-recombination protein (rearrangement mutator) RmuC
COG1120,PH,"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component"
COG1277,O,"ABC-type transport system involved in multi-copper enzyme maturation, permease component"
COG1359,C,Quinol monooxygenase YgiN
COG1912,H,S-adenosylmethionine hydrolase (SAM-hydroxide adenosyltransferase)
COG1702,T,"Phosphate starvation-inducible protein PhoH, predicted ATPase"
COG0152,F,Phosphoribosylaminoimidazole-succinocarboxamide synthase
COG4447,R,Uncharacterized protein related to plant photosystem II stability/assembly factor
COG1801,S,"Uncharacterized conserved protein YecE, DUF72 family"
COG0513,L,Superfamily II DNA and RNA helicase
COG2234,O,"Zn-dependent amino- or carboxypeptidase, M28 family"
COG2120,G,"N-acetylglucosaminyl deacetylase, LmbE family"
COG0450,V,Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)
COG0526,O,Thiol-disulfide isomerase or thioredoxin
COG2077,O,Peroxiredoxin
COG0818,I,Diacylglycerol kinase
COG1674,D,DNA segregation ATPase FtsK/SpoIIIE and related proteins
COG0795,MN,"Lipopolysaccharide export LptBFGC system, permease protein LptF"
COG0108,H,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
COG2838,C,Monomeric isocitrate dehydrogenase
COG0335,J,Ribosomal protein L19
COG3712,PT,"Periplasmic ferric-dicitrate binding protein FerR, regulates iron transport through sigma-19"
COG0471,G,Di- and tricarboxylate transporter
COG0336,J,tRNA G37 N-methylase TrmD
COG0057,G,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0265,O,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain"
COG0253,E,Diaminopimelate epimerase
COG1559,D,"Cell division protein YceG, involved in septum cleavage"
COG0593,L,Chromosomal replication initiation ATPase DnaA
COG1739,R,"Putative translation regulator, IMPACT (imprinted ancient) protein family"
COG1011,H,"FMN phosphatase YigB, HAD superfamily"
COG0117,H,Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD
COG2890,J,Methylase of polypeptide chain release factors
COG1611,R,Predicted Rossmann fold nucleotide-binding protein
COG0272,L,NAD-dependent DNA ligase
COG0329,EM,Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG1729,R,Periplasmic TolA-binding protein (function unknown)
COG0452,H,Phosphopantothenoylcysteine synthetase/decarboxylase
COG0497,L,DNA repair ATPase RecN
COG0623,I,Enoyl-[acyl-carrier-protein] reductase (NADH)
COG1215,N,"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase"
COG4856,S,"Uncharacterized protein, YbbR domain"
COG0237,H,Dephospho-CoA kinase
COG0745,TK,"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
COG0324,J,tRNA A37 N6-isopentenylltransferase MiaA
COG1226,P,Voltage-gated potassium channel Kch
COG2176,L,"DNA polymerase III, alpha subunit (gram-positive type)"
COG0325,R,"Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family"
COG4198,S,"Uncharacterized conserved protein, DUF1015 family"
COG0673,R,Predicted dehydrogenase
COG2518,O,Protein-L-isoaspartate O-methyltransferase
COG0691,O,tmRNA-binding protein
COG0406,G,Broad specificity phosphatase PhoE
COG1200,L,RecG-like helicase
COG0308,E,Aminopeptidase N
COG4667,I,"Predicted phospholipase, patatin/cPLA2 family"
COG1473,R,Metal-dependent amidase/aminoacylase/carboxypeptidase
COG1416,P,"Intracellular sulfur oxidation protein, DsrE/DsrF family"
COG0210,L,Superfamily I DNA or RNA helicase
COG0009,J,tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
COG5285,Q,"Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family"
COG2162,Q,Arylamine N-acetyltransferase
COG2720,V,"Vancomycin resistance protein YoaR (function unknown), contains peptidoglycan-binding and VanW domains"
COG1733,K,"DNA-binding transcriptional regulator, HxlR family"
COG0388,R,Predicted amidohydrolase
COG1881,R,"Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family"
COG3448,T,CBS-domain-containing membrane protein
COG1017,C,Hemoglobin-like flavoprotein
COG1794,M,Aspartate/glutamate racemase
COG2226,H,Ubiquinone/menaquinone biosynthesis C-methylase UbiE
COG2820,F,Uridine phosphorylase
COG0023,J,Translation initiation factor 1 (eIF-1/SUI1)
COG3491,Q,Isopenicillin N synthase and related dioxygenases
COG0677,M,UDP-N-acetyl-D-mannosaminuronate dehydrogenase
COG1045,E,Serine acetyltransferase
COG1696,M,"D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily"
COG0367,E,Asparagine synthetase B (glutamine-hydrolyzing)
COG3420,P,"Nitrous oxidase accessory protein NosD, contains tandem CASH domains"
COG2148,M,"Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)"
COG0110,R,Acetyltransferase (isoleucine patch superfamily)
COG1086,MO,"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC"
COG1596,M,"Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold"
COG0489,D,"Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster"
COG4464,T,Tyrosine-protein phosphatase YwqE
COG0466,O,"ATP-dependent Lon protease, bacterial type"
COG0040,E,ATP phosphoribosyltransferase
COG0141,E,Histidinol dehydrogenase
COG0079,E,Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
COG0131,E,Imidazoleglycerol phosphate dehydratase HisB
COG0118,E,Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
COG0106,E,Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107,E,Imidazole glycerol phosphate synthase subunit HisF
COG0139,E,Phosphoribosyl-AMP cyclohydrolase
COG0539,J,Ribosomal protein S1
COG3564,S,"Uncharacterized conserved protein, DUF779 family"
COG2065,F,Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase
COG0540,F,"Aspartate carbamoyltransferase, catalytic chain"
COG4232,O,Thiol:disulfide interchange protein
COG0259,H,Pyridoxine/pyridoxamine 5'-phosphate oxidase
COG2062,T,Phosphohistidine phosphatase SixA
COG0855,P,Polyphosphate kinase
COG0248,FTP,Exopolyphosphatase/pppGpp-phosphohydrolase
COG0019,E,Diaminopimelate decarboxylase
COG2346,P,Truncated hemoglobin YjbI
COG0179,Q,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
COG0112,E,Glycine/serine hydroxymethyltransferase
COG0597,MU,Lipoprotein signal peptidase
COG1249,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme"
COG1132,V,"ABC-type multidrug transport system, ATPase and permease component"
COG1988,R,"Membrane-bound metal-dependent hydrolase YbcI, DUF457 family"
COG1432,S,"Uncharacterized conserved protein, LabA/DUF88 family"
COG0431,C,NAD(P)H-dependent FMN reductase
COG0147,EH,Anthranilate/para-aminobenzoate synthases component I
COG0037,J,tRNA(Ile)-lysidine synthase TilS/MesJ
COG2936,R,Predicted acyl esterase
COG4805,S,"Uncharacterized conserved protein, DUF885 familyt"
COG1649,S,"Uncharacterized lipoprotein YddW, UPF0748 family"
COG2274,V,"ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain"
COG0366,G,Glycosidase
COG1609,K,"DNA-binding transcriptional regulator, LacI/PurR family"
COG2211,G,Na+/melibiose symporter or related transporter
COG0637,GR,"Beta-phosphoglucomutase or related phosphatase, HAD superfamily"
COG1554,G,Trehalose and maltose hydrolase (possible phosphorylase)
COG5642,S,"Uncharacterized conserved protein, DUF2384 family"
COG5654,S,"Uncharacterized conserved protein, contains RES domain"
COG3590,O,Predicted metalloendopeptidase
COG0606,O,Predicted ATPase with chaperone activity
COG1914,P,Mn2+ and Fe2+ transporters of the NRAMP family
COG1540,R,Lactam utilization protein B (function unknown)
COG2049,E,Allophanate hydrolase subunit 1
COG1984,E,Allophanate hydrolase subunit 2
COG0129,EG,Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0028,EH,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0440,E,"Acetolactate synthase, small subunit"
COG0059,EH,Ketol-acid reductoisomerase
COG0137,E,Argininosuccinate synthase
COG0002,E,N-acetyl-gamma-glutamylphosphate reductase
COG0345,E,Pyrroline-5-carboxylate reductase
COG4992,E,Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase
COG0014,E,Gamma-glutamyl phosphate reductase
COG0263,E,Glutamate 5-kinase
COG0078,E,Ornithine carbamoyltransferase
COG0548,E,Acetylglutamate kinase
COG0624,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
COG0165,E,Argininosuccinate lyase
COG4799,I,"Acetyl-CoA carboxylase, carboxyltransferase component"
COG4770,I,"Acetyl/propionyl-CoA carboxylase, alpha subunit"
COG3437,T,"Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains"
COG2201,NT,"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains"
COG1301,C,Na+/H+-dicarboxylate symporter
COG0400,R,Predicted esterase
COG3602,S,Uncharacterized protein
COG1049,C,Aconitase B
COG3485,Q,"Protocatechuate 3,4-dioxygenase beta subunit"
COG1280,E,Threonine/homoserine/homoserine lactone efflux protein
COG3668,X,Plasmid stabilization system protein ParE
COG3609,K,"Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain"
COG3666,X,Transposase
COG3547,X,Transposase
COG3320,Q,Thioester reductase domain of alpha aminoadipate reductase Lys2 and NRPSs
COG0250,K,Transcription antitermination factor NusG
COG1816,F,Adenosine deaminase
COG1957,F,Inosine-uridine nucleoside N-ribohydrolase
COG4221,C,NADP-dependent 3-hydroxy acid dehydrogenase YdfG
COG0125,F,Thymidylate kinase
COG0369,P,"Sulfite reductase, alpha subunit (flavoprotein)"
COG4278,S,Uncharacterized protein
COG4264,P,Siderophore synthetase component
COG3486,Q,Lysine/ornithine N-monooxygenase
COG0716,C,Flavodoxin
COG5266,R,"Uncharacterized conserved protein, contains GH25 family domain"
COG4693,P,"Oxidoreductase (NAD-binding), involved in siderophore biosynthesis"
COG3206,M,Uncharacterized protein involved in exopolysaccharide biosynthesis
COG1817,R,Predicted glycosyltransferase
COG2348,M,Lipid II:glycine glycyltransferase (Peptidoglycan interpeptide bridge formation enzyme)
COG0189,HJ,"Glutathione synthase/RimK-type ligase, ATP-grasp superfamily"
COG2335,R,Uncaracterized surface protein containing fasciclin (FAS1) repeats
COG0791,M,"Cell wall-associated hydrolase, NlpC family"
COG3975,R,"Predicted metalloprotease, contains C-terminal PDZ domain"
COG1051,F,"ADP-ribose pyrophosphatase YjhB, NUDIX family"
COG0516,F,IMP dehydrogenase/GMP reductase
COG1492,H,Cobyric acid synthase
COG1270,H,Cobalamin biosynthesis protein CobD/CbiB
COG3411,C,(2Fe-2S) ferredoxin
COG2138,H,Sirohydrochlorin ferrochelatase
COG0790,T,TPR repeat
COG4538,S,Uncharacterized protein
COG3832,S,"Uncharacterized conserved protein YndB, AHSA1/START domain"
COG1429,H,"Cobalamin biosynthesis protein CobN, Mg-chelatase"
COG1797,H,"Cobyrinic acid a,c-diamide synthase"
COG1239,H,Mg-chelatase subunit ChlI
COG2827,L,"Predicted endonuclease, GIY-YIG superfamily"
COG2755,E,Lysophospholipase L1 or related esterase
COG1038,C,Pyruvate carboxylase
COG4663,Q,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component"
COG4664,Q,"TRAP-type mannitol/chloroaromatic compound transport system, large permease component"
COG4665,Q,"TRAP-type mannitol/chloroaromatic compound transport system, small permease component"
COG3022,P,"Cytoplasmic iron level regulating protein YaaA, DUF328/UPF0246 family"
COG0564,J,"Pseudouridylate synthase, 23S rRNA- or tRNA-specific"
COG2815,M,"PASTA domain, binds beta-lactams"
COG1181,MR,D-alanine-D-alanine ligase and related ATP-grasp enzymes
COG0669,H,Phosphopantetheine adenylyltransferase
COG3708,K,"Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain"
COG0659,P,"Sulfate permease or related transporter, MFS superfamily"
COG3858,D,Spore germination protein YaaH
COG1652,S,"Nucleoid-associated protein YgaU, contains BON and LysM domains"
COG0461,F,Orotate phosphoribosyltransferase
COG0340,H,Biotin-(acetyl-CoA carboxylase) ligase
COG0799,J,"Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits"
COG0465,O,ATP-dependent Zn proteases
COG1556,C,"L-lactate utilization protein LutC, contains LUD domain"
COG0575,I,CDP-diglyceride synthetase
COG0688,I,Phosphatidylserine decarboxylase
COG0525,J,Valyl-tRNA synthetase
COG0812,M,UDP-N-acetylenolpyruvoylglucosamine reductase
COG0320,H,Lipoate synthase
COG1663,M,Tetraacyldisaccharide-1-P 4'-kinase
COG0327,H,"Putative GTP cyclohydrolase 1 type 2, NIF3 family"
COG1579,R,"Predicted  nucleic acid-binding protein, contains Zn-ribbon domain"
COG0268,J,Ribosomal protein S20
COG0442,J,Prolyl-tRNA synthetase
COG0302,H,GTP cyclohydrolase I
COG0215,J,Cysteinyl-tRNA synthetase
COG0216,J,Protein chain release factor A
COG3104,E,Dipeptide/tripeptide permease
COG0225,O,Peptide methionine sulfoxide reductase MsrA
COG0150,F,Phosphoribosylaminoimidazole (AIR) synthetase
COG1462,M,Curli biogenesis system outer membrane secretion channel CsgG
COG3968,E,Glutamine synthetase type III
COG0174,E,Glutamine synthetase
COG0530,P,Ca2+/Na+ antiporter
COG0503,F,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
COG2825,MO,"Periplasmic chaperone for outer membrane proteins, Skp family"
COG1197,LK,Transcription-repair coupling factor (superfamily II helicase)
COG0792,L,Predicted endonuclease distantly related to archaeal Holliday junction resolvase
COG1619,M,Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling)
COG5267,S,"Uncharacterized conserved protein, DUF1800 family"
COG4102,S,"Uncharacterized conserved protein, DUF1501 family"
COG0143,J,Methionyl-tRNA synthetase
COG0123,BQ,Acetoin utilization deacetylase AcuC or a related deacetylase
COG0517,T,CBS domain
COG0479,C,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"
COG2954,R,"CYTH domain, found in class IV adenylate cyclase and various triphosphatases"
COG4953,M,Membrane carboxypeptidase/penicillin-binding protein PbpC
COG0737,FV,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family"
COG2329,H,Heme-degrading monooxygenase HmoA and related ABM domain proteins
COG2373,R,"Uncharacterized conserved protein YfaS, alpha-2-macroglobulin family"
COG1446,E,"Isoaspartyl peptidase or L-asparaginase, Ntn-hydrolase superfamily"
COG4916,S,Uncharacterized protein
COG1418,JR,"HD superfamily phosphodieaserase, includes HD domain of RNase Y"
COG0484,O,DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0370,P,Fe2+ transport system protein B
COG0750,OK,"Membrane-associated protease RseP, regulator of RpoE activity"
COG2367,V,Beta-lactamase class A
COG4977,K,"Transcriptional regulator GlxA family, contains an amidase domain and an AraC-type DNA-binding HTH domain"
COG0823,U,Periplasmic component of the Tol biopolymer transport system
COG0506,E,Proline dehydrogenase
COG0693,R,Putative intracellular protease/amidase
COG0628,R,Predicted PurR-regulated permease PerM
COG5429,S,Uncharacterized protein
COG0592,L,"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog"
COG0609,P,"ABC-type Fe3+-siderophore transport system, permease component"
COG0614,P,"ABC-type Fe3+-hydroxamate transport system, periplasmic component"
COG0368,H,Cobalamin synthase
COG2038,H,NaMN:DMB phosphoribosyltransferase
COG2087,H,Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase
COG0015,F,Adenylosuccinate lyase
COG0846,O,"NAD-dependent protein deacetylase, SIR2 family"
COG3119,P,Arylsulfatase A or related enzyme
COG1960,I,Acyl-CoA dehydrogenase related to the alkylation response protein AidB
COG3755,S,"Uncharacterized conserved protein YecT, DUF1311 family"
COG0523,R,"GTPase, G3E family"
COG0657,I,Acetyl esterase/lipase
COG3483,E,"Tryptophan 2,3-dioxygenase (vermilion)"
COG3228,T,"Mlc titration factor MtfA, regulates ptsG expression"
COG0670,R,"Integral membrane protein, interacts with FtsH"
COG0036,G,Pentose-5-phosphate-3-epimerase
COG0568,K,"DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)"
COG1770,E,Protease II
COG2312,Q,Erythromycin esterase homolog
COG0113,H,"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase"
COG4654,C,Cytochrome c551/c552
COG2318,S,Uncharacterized damage-inducible protein DinB (forms a four-helix bundle)
COG2262,J,50S ribosomal subunit-associated GTPase HflX
COG0417,L,DNA polymerase elongation subunit (family B)
COG0429,R,Predicted hydrolase of the alpha/beta-hydrolase fold
COG1393,P,"Arsenate reductase and related proteins, glutaredoxin family"
COG0334,E,Glutamate dehydrogenase/leucine dehydrogenase
COG1381,L,Recombinational DNA repair protein (RecF pathway)
COG0546,C,"Phosphoglycolate phosphatase, HAD superfamily"
COG1118,P,"ABC-type sulfate/molybdate transport systems, ATPase component"
COG4149,P,"ABC-type molybdate transport system, permease component"
COG3585,H,Molybdopterin-binding protein
COG0725,P,"ABC-type molybdate transport system, periplasmic component"
COG3324,R,Predicted enzyme related to lactoylglutathione lyase
COG3508,Q,"Homogentisate 1,2-dioxygenase"
COG4147,C,Na+(or H+)/acetate symporter ActP
COG0153,G,Galactokinase
COG1209,M,dTDP-glucose pyrophosphorylase
COG0661,HT,"Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family"
COG3476,T,Tryptophan-rich sensory protein (mitochondrial benzodiazepine receptor homolog)
COG0531,E,Amino acid transporter
COG5441,S,"Uncharacterized protein, UPF0261 family"
COG3232,E,5-carboxymethyl-2-hydroxymuconate isomerase
COG2368,Q,Aromatic ring hydroxylase
COG3836,G,2-keto-3-deoxy-L-rhamnonate aldolase RhmA
COG3971,Q,2-keto-4-pentenoate hydratase
COG3207,Q,Pyoverdine/dityrosine biosynthesis protein Dit1
COG0654,HC,2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
COG4922,R,Predicted SnoaL-like aldol condensation-catalyzing enzyme
COG2855,S,Uncharacterized membrane protein YadS
COG3967,MI,Short-chain dehydrogenase involved in D-alanine esterification of teichoic acids
COG1472,G,Periplasmic beta-glucosidase and related glycosidases
COG2377,M,"1,6-Anhydro-N-acetylmuramate kinase"
COG0572,F,Uridine kinase
COG1884,I,"Methylmalonyl-CoA mutase, N-terminal domain/subunit"
COG1192,N,Cellulose biosynthesis protein BcsQ
COG1475,D,"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain"
COG0289,E,Dihydrodipicolinate reductase
COG0681,U,Signal peptidase I
COG0317,TK,"(p)ppGpp synthase/hydrolase, HD superfamily"
COG1515,L,Deoxyinosine 3'endonuclease (endonuclease V)
COG3568,R,"Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family"
COG0705,O,"Membrane associated serine protease, rhomboid family"
COG0323,L,DNA mismatch repair ATPase MutL
COG0054,H,"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"
COG1195,L,Recombinational DNA repair ATPase RecF
COG0105,F,Nucleoside diphosphate kinase
COG0618,F,"nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs"
COG1047,O,FKBP-type peptidyl-prolyl cis-trans isomerase 2
COG3393,R,"Predicted acetyltransferase, GNAT family"
COG0402,FR,Cytosine/adenosine deaminase or related metal-dependent hydrolase
COG3741,E,N-formylglutamate amidohydrolase
COG3758,T,Various environmental stresses-induced protein Ves (function unknown)
COG2987,E,Urocanate hydratase
COG0415,L,Deoxyribodipyrimidine photolyase
COG4276,R,Ligand-binding SRPBCC domain
COG0815,M,Apolipoprotein N-acyltransferase
COG1193,L,dsDNA-specific endonuclease/ATPase MutS2
COG0692,L,Uracil DNA glycosylase
COG0715,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
COG1216,G,"Glycosyltransferase, GT2 family"
COG1466,L,"DNA polymerase III, delta subunit"
COG0114,C,Fumarate hydratase class II
COG2319,R,WD40 repeat
COG2008,E,Threonine aldolase
COG3422,S,"Uncharacterized conserved protein YegP, UPF0339 family"
COG0718,R,Conserved DNA-binding protein YbaB (function unknown)
COG4485,S,Uncharacterized membrane protein YfhO
COG1225,O,Peroxiredoxin
COG0178,L,Excinuclease UvrABC ATPase subunit
COG0177,L,Endonuclease III
COG2143,O,Thioredoxin-related protein
COG1235,P,"Phosphoribosyl 1,2-cyclic phosphodiesterase"
COG4222,S,Uncharacterized conserved protein
COG1501,G,"Alpha-glucosidase, glycosyl hydrolase family GH31"
COG4430,S,"Uncharacterized conserved protein YdeI, YjbR/CyaY-like superfamily, DUF1801 family"
COG2509,R,Uncharacterized FAD-dependent dehydrogenase
COG0251,V,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family"
COG1452,M,LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)
COG0860,M,N-acetylmuramoyl-L-alanine amidase
COG1463,M,"ABC-type transporter Mla maintaining outer membrane lipid asymmetry, periplasmic component MlaD"
COG0247,C,Fe-S oxidoreductase
COG4989,R,Predicted oxidoreductase
COG0742,J,16S rRNA G966 N2-methylase RsmD
COG0507,L,"ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I"
COG1212,M,CMP-2-keto-3-deoxyoctulosonic acid synthetase
COG0217,KJ,Transcriptional and/or translational regulatory protein YebC/TACO1
COG2154,H,Pterin-4a-carbinolamine dehydratase
COG0424,Q,"Predicted house-cleaning NTP pyrophosphatase, Maf/HAM1 superfamily"
COG1576,J,23S rRNA pseudoU1915 N3-methylase RlmH
COG0157,H,Nicotinate-nucleotide pyrophosphorylase
COG1295,S,"Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)"
COG4731,S,"Uncharacterized conserved protein, DUF2147 family"
COG1198,L,Primosomal protein N' (replication factor Y) - superfamily II helicase
COG0360,J,Ribosomal protein S6
COG0238,J,Ribosomal protein S18
COG0359,J,Ribosomal protein L9
COG0124,J,Histidyl-tRNA synthetase
COG3211,R,"Secreted phosphatase, PhoX family"
COG5403,S,Uncharacterized protein
COG1932,HE,Phosphoserine aminotransferase
COG1575,H,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
COG2220,G,"L-ascorbate metabolism protein UlaG, beta-lactamase superfamily"
COG4948,MR,L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily
COG1266,O,"Membrane protease YdiL, CAAX protease family"
COG2304,R,Secreted protein containing bacterial Ig-like domain and vWFA domain
COG1187,J,"16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases"
COG0730,S,Uncharacterized membrane protein YfcA
COG3550,T,"Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module"
COG0802,J,tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE
COG1078,R,HD superfamily phosphohydrolase
COG1044,M,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
COG0774,M,UDP-3-O-acyl-N-acetylglucosamine deacetylase
COG1043,M,Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase
COG0231,J,Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0074,C,"Succinyl-CoA synthetase, alpha subunit"
COG0612,R,Predicted Zn-dependent peptidase
COG0330,O,"Regulator of protease activity HflC, stomatin/prohibitin superfamily"
COG1764,V,Organic hydroperoxide reductase OsmC/OhrA
COG1077,D,Actin-like ATPase involved in cell morphogenesis
COG0283,F,Cytidylate kinase
COG0101,J,"tRNA U38,U39,U40 pseudouridine synthase TruA"
COG2258,S,"Uncharacterized conserved protein YiiM, contains MOSC domain"
COG2017,G,Galactose mutarotase or related enzyme
COG2524,K,"Predicted transcriptional regulator, contains C-terminal CBS domains"
COG1480,R,Membrane-associated HD superfamily phosphohydrolase
COG0012,J,"Ribosome-binding ATPase YchF, GTP1/OBG family"
COG0025,P,NhaP-type Na+/H+ or K+/H+ antiporter
COG0594,J,RNase P protein component
COG1230,P,Co/Zn/Cd efflux system component
COG0698,G,Ribose 5-phosphate isomerase RpiB
COG0557,K,Exoribonuclease R
COG1539,H,Dihydroneopterin aldolase
COG0008,J,Glutamyl- or glutaminyl-tRNA synthetase
COG0319,J,"ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme"
COG0445,J,tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA
COG2227,H,"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase"
COG0138,F,AICAR transformylase/IMP cyclohydrolase PurH
COG1792,D,Cell shape-determining protein MreC
COG1864,F,"DNA/RNA endonuclease G, NUC1"
COG1651,O,Protein-disulfide isomerase
COG1173,EP,"ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
COG0496,L,Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE
COG0763,M,Lipid A disaccharide synthetase
COG0658,R,Predicted membrane metal-binding protein
COG1257,I,Hydroxymethylglutaryl-CoA reductase
COG1577,I,Mevalonate kinase
COG0567,C,"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes"
COG0841,V,Multidrug efflux pump subunit AcrB
COG0740,O,"ATP-dependent protease ClpP, protease subunit"
COG1876,M,"LD-carboxypeptidase LdcB, LAS superfamily"
COG0696,G,"Phosphoglycerate mutase (BPG-independent, AlkP superfamily)"
COG0024,J,Methionine aminopeptidase
COG1477,H,Thiamine biosynthesis lipoprotein ApbE
COG2871,C,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF"
COG2209,C,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE"
COG1347,C,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD"
COG2869,C,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC"
COG1805,C,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB"
COG1726,C,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA"
COG2967,P,Uncharacterized protein affecting Mg2+/Co2+ transport
