PFAM_ACC,CLAN,CLAN_Name,PFAM_Name,PFAM_desc
PF02629,CL0063,NADP_Rossmann,CoA_binding,CoA binding domain
PF13380,CL0063,NADP_Rossmann,CoA_binding_2,CoA binding domain
PF13727,CL0063,NADP_Rossmann,CoA_binding_3,CoA-binding domain
PF01144,CL0246,ISOCOT_Fold,CoA_trans,Coenzyme A transferase
PF03186,CL0685,AmpE_CobD-like,CobD_Cbib,CobD/Cbib protein
PF02514,,,CobN-Mg_chel,CobN/Magnesium Chelatase
PF02654,,,CobS,Cobalamin-5-phosphate synthase
PF02283,CL0023,P-loop_NTPase,CobU,Cobinamide kinase / cobinamide phosphate guanyltransferase
PF02492,CL0023,P-loop_NTPase,cobW,"CobW/HypB/UreG, nucleotide-binding domain"
PF07683,,,CobW_C,Cobalamin synthesis protein cobW C-terminal domain
PF01923,CL0601,Cob_adeno_trans,Cob_adeno_trans,Cobalamin adenosyltransferase
PF00135,CL0028,AB_hydrolase,COesterase,Carboxylesterase family
PF02674,CL0292,LysE,Colicin_V,Colicin V production protein
PF01391,,,Collagen,Collagen triple helix repeat (20 copies)
PF07484,,,Collar,Phage Tail Collar Domain
PF03772,,,Competence,Competence protein
PF00668,CL0149,CoA-acyltrans,Condensation,Condensation domain
PF03601,CL0064,CPA_AT,Cons_hypoth698,Conserved hypothetical protein 698
PF03602,CL0063,NADP_Rossmann,Cons_hypoth95,Conserved hypothetical protein 95
PF15976,CL0287,Transthyretin,CooC_C,CS1-pili formation C-terminal
PF00127,CL0026,CU_oxidase,Copper-bind,"Copper binding proteins, plastocyanin/azurin family"
PF01218,,,Coprogen_oxidas,Coproporphyrinogen III oxidase
PF05019,,,Coq4,Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF03471,,,CorC_HlyC,Transporter associated domain
PF13657,,,Couple_hipA,HipA N-terminal domain
PF00115,,,COX1,Cytochrome C and Quinol oxidase polypeptide I
PF02628,CL0328,2heme_cytochrom,COX15-CtaA,Cytochrome oxidase assembly protein
PF00116,CL0026,CU_oxidase,COX2,"Cytochrome C oxidase subunit II, periplasmic domain"
PF02790,,,COX2_TM,"Cytochrome C oxidase subunit II, transmembrane domain"
PF00510,,,COX3,Cytochrome c oxidase subunit III
PF03626,,,COX4_pro,Prokaryotic Cytochrome C oxidase subunit IV 
PF02517,CL0472,Peptidase_U,CPBP,CPBP intramembrane metalloprotease
PF06206,CL0116,Calycin,CpeT,CpeT/CpcT family (DUF1001)
PF00166,CL0296,GroES,Cpn10,Chaperonin 10 Kd subunit
PF00118,,,Cpn60_TCP1,TCP-1/cpn60 chaperonin family
PF02786,CL0179,ATP-grasp,CPSase_L_D2,"Carbamoyl-phosphate synthase L chain, ATP binding domain"
PF02787,CL0123,HTH,CPSase_L_D3,"Carbamoyl-phosphate synthetase large chain, oligomerisation domain"
PF00988,CL0364,Leu-IlvD,CPSase_sm_chain,"Carbamoyl-phosphate synthase small chain, CPSase domain"
PF02537,CL0184,DMT,CRCB,"CrcB-like protein, Camphor Resistance (CrcB)"
PF02633,,,Creatininase,Creatinine amidohydrolase
PF06123,,,CreD,Inner membrane protein CreD
PF00325,CL0123,HTH,Crp,"Bacterial regulatory proteins, crp family"
PF00313,CL0021,OB,CSD,'Cold-shock' DNA-binding domain
PF17876,CL0021,OB,CSD2,Cold shock domain
PF10627,,,CsgE,Curli assembly protein CsgE
PF10614,,,CsgF,"Type VIII secretion system (T8SS), CsgF protein"
PF03783,CL0342,TolB_N,CsgG,Curli production assembly/transport component CsgG
PF06418,CL0023,P-loop_NTPase,CTP_synth_N,CTP synthase N-terminus
PF01148,CL0234,CTPT,CTP_transf_1,Cytidylyltransferase family
PF02348,CL0110,GT-A,CTP_transf_3,Cytidylyltransferase
PF01467,CL0039,HUP,CTP_transf_like,Cytidylyltransferase-like
PF02626,CL0475,Cyclophil-like,CT_A_B,"Carboxyltransferase domain, subdomain A and B "
PF02682,CL0475,Cyclophil-like,CT_C_D,"Carboxyltransferase domain, subdomain C and D"
PF07883,CL0029,Cupin,Cupin_2,Cupin domain
PF05899,CL0029,Cupin,Cupin_3,Protein of unknown function (DUF861)
PF06172,CL0029,Cupin,Cupin_5,Cupin superfamily (DUF985)
PF13621,CL0029,Cupin,Cupin_8,Cupin-like domain
PF13473,CL0026,CU_oxidase,Cupredoxin_1,Cupredoxin-like domain
PF07012,,,Curlin_rpt,Curlin associated repeat
PF17783,CL0123,HTH,CvfB_WH,CvfB-like winged helix domain
PF03692,,,CxxCxxCC,Putative zinc- or iron-chelating domain
PF04199,CL0364,Leu-IlvD,Cyclase,Putative cyclase
PF01053,CL0061,PLP_aminotran,Cys_Met_Meta_PP,Cys/Met metabolism PLP-dependent enzyme
PF01928,CL0273,CYTH,CYTH,CYTH domain
PF02224,CL0023,P-loop_NTPase,Cytidylate_kin,Cytidylate kinase
PF13189,CL0023,P-loop_NTPase,Cytidylate_kin2,Cytidylate kinase-like family
PF14522,CL0317,Multiheme_cytos,Cytochrome_C7,Cytochrome c7 and related cytochrome c
PF13442,CL0318,Cytochrome-c,Cytochrome_CBB3,"Cytochrome C oxidase, cbb3-type, subunit III "
PF00034,CL0318,Cytochrome-c,Cytochrom_C,Cytochrome c
PF14537,CL0317,Multiheme_cytos,Cytochrom_c3_2,Cytochrome c3
PF02335,CL0317,Multiheme_cytos,Cytochrom_C552,Cytochrome c552
PF02085,CL0317,Multiheme_cytos,Cytochrom_CIII,Class III cytochrome C family
PF01578,CL0328,2heme_cytochrom,Cytochrom_C_asm,Cytochrome C assembly protein
PF03264,CL0317,Multiheme_cytos,Cytochrom_NNT,"NapC/NirT cytochrome c family, N-terminal region"
PF01654,,,Cyt_bd_oxida_I,Cytochrome bd terminal oxidase subunit I
PF02322,,,Cyt_bd_oxida_II,Cytochrome bd terminal oxidase subunit II
PF02457,,,DAC,DisA bacterial checkpoint controller nucleotide-binding
PF01219,,,DAGK_prokar,Prokaryotic diacylglycerol kinase
PF00793,CL0036,TIM_barrel,DAHP_synth_1,DAHP synthetase I family
PF07478,CL0179,ATP-grasp,Dala_Dala_lig_C,D-ala D-ala ligase C-terminus
PF01820,CL0483,PreATP-grasp,Dala_Dala_lig_N,D-ala D-ala ligase N-terminus
PF05746,CL0258,DALR,DALR_1,DALR anticodon binding domain
PF09190,CL0258,DALR,DALR_2,DALR domain
PF01266,CL0063,NADP_Rossmann,DAO,FAD dependent oxidoreductase
PF05173,CL0139,GADPH_aa-bio_dh,DapB_C,"Dihydrodipicolinate reductase, C-terminus"
PF01113,CL0063,NADP_Rossmann,DapB_N,"Dihydrodipicolinate reductase, N-terminus"
PF01678,CL0288,DAP_epimerase,DAP_epimerase,Diaminopimelate epimerase
PF02277,,,DBI_PRT,Phosphoribosyltransferase
PF03880,CL0221,RRM,DbpA,DbpA RNA binding domain   
PF05258,CL0424,T3SS-hook,DciA,"Dna[CI] antecedent, DciA"
PF00383,CL0109,CDA,dCMP_cyt_deam_1,Cytidine and deoxycytidylate deaminase zinc-binding region
PF08211,CL0109,CDA,dCMP_cyt_deam_2,Cytidine and deoxycytidylate deaminase zinc-binding region 
PF11969,CL0265,HIT,DcpS_C,Scavenger mRNA decapping enzyme C-term binding
PF06808,CL0182,IT,DctM,"Tripartite ATP-independent periplasmic transporter, DctM component"
PF03480,CL0177,PBP,DctP,"Bacterial extracellular solute-binding protein, family 7"
PF04290,,,DctQ,"Tripartite ATP-independent periplasmic transporters, DctQ component"
PF01609,CL0219,RNase_H,DDE_Tnp_1,Transposase DDE domain
PF13612,CL0219,RNase_H,DDE_Tnp_1_3,Transposase DDE domain
PF13751,CL0219,RNase_H,DDE_Tnp_1_6,Transposase DDE domain
PF13610,CL0219,RNase_H,DDE_Tnp_IS240,DDE domain
PF03050,CL0219,RNase_H,DDE_Tnp_IS66,Transposase IS66 family 
PF01610,CL0219,RNase_H,DDE_Tnp_ISL3,Transposase
PF00270,CL0023,P-loop_NTPase,DEAD,DEAD/DEAH box helicase
PF01548,,,DEDD_Tnp_IS110,Transposase
PF01041,CL0061,PLP_aminotran,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family
PF04127,CL0063,NADP_Rossmann,DFP,DNA / pantothenate metabolism flavoprotein
PF00926,,,DHBP_synthase,"3,4-dihydroxy-2-butanone 4-phosphate synthase"
PF00701,CL0036,TIM_barrel,DHDPS,Dihydrodipicolinate synthetase family
PF00186,CL0387,DHFred,DHFR_1,Dihydrofolate reductase
PF01368,CL0137,HAD,DHH,DHH family
PF02272,,,DHHA1,DHHA1 domain
PF06537,CL0318,Cytochrome-c,DHOR,"Di-haem oxidoreductase, putative peroxidase"
PF01180,CL0036,TIM_barrel,DHO_dh,Dihydroorotate dehydrogenase
PF01220,,,DHquinase_II,Dehydroquinase class II
PF01761,CL0224,DHQS,DHQ_synthase,3-dehydroquinate synthase
PF05163,CL0310,DinB,DinB,DinB family
PF12867,CL0310,DinB,DinB_2,DinB superfamily
PF00775,CL0287,Transthyretin,Dioxygenase_C,Dioxygenase
PF14226,CL0029,Cupin,DIOX_N,non-haem dioxygenase in morphine synthesis N-terminal
PF06491,,,Disulph_isomer,Disulphide isomerase
PF05141,,,DIT1_PvcA,Pyoverdine/dityrosine biosynthesis protein
PF04977,CL0225,FtsL,DivIC,Septum formation initiator
PF01965,CL0014,Glutaminase_I,DJ-1_PfpI,DJ-1/PfpI family
PF13644,,,DKNYY,DKNYY family
PF01738,CL0028,AB_hydrolase,DLH,Dienelactone hydrolase family
PF00885,,,DMRL_synthase,"6,7-dimethyl-8-ribityllumazine synthase"
PF04657,CL0184,DMT,DMT_YdcZ,"Putative inner membrane exporter, YdcZ "
PF11638,CL0494,DnaA_N,DnaA_N,DnaA N-terminal domain
PF00772,,,DnaB,DnaB-like helicase N terminal domain
PF10410,,,DnaB_bind,DnaB-helicase binding domain of primase
PF03796,CL0023,P-loop_NTPase,DnaB_C,DnaB-like helicase C terminal domain
PF00226,CL0392,Chaperone-J,DnaJ,DnaJ domain
PF01556,,,DnaJ_C,DnaJ C terminal domain
PF00684,,,DnaJ_CXXCXGXG,DnaJ central domain
PF08713,CL0020,TPR,DNA_alkylation,DNA alkylation repair enzyme
PF01035,,,DNA_binding_1,"6-O-methylguanine DNA methyltransferase, DNA binding domain"
PF03989,,,DNA_gyraseA_C,"DNA gyrase C-terminal domain, beta-propeller"
PF00204,CL0329,S5,DNA_gyraseB,DNA gyrase B
PF00986,,,DNA_gyraseB_C,"DNA gyrase B subunit, carboxyl terminus"
PF01653,CL0078,DNA_ligase,DNA_ligase_aden,NAD-dependent DNA ligase adenylation domain
PF03120,CL0021,OB,DNA_ligase_OB,NAD-dependent DNA ligase OB-fold domain
PF03119,,,DNA_ligase_ZBD,NAD-dependent DNA ligase C4 zinc finger domain
PF00145,CL0063,NADP_Rossmann,DNA_methylase,C-5 cytosine-specific DNA methylase
PF01119,CL0329,S5,DNA_mis_repair,"DNA mismatch repair protein, C-terminal domain"
PF00875,CL0039,HUP,DNA_photolyase,DNA photolyase
PF07733,CL0260,NTP_transf,DNA_pol3_alpha,Bacterial DNA polymerase III alpha NTPase domain
PF00712,CL0060,DNA_clamp,DNA_pol3_beta,"DNA polymerase III beta subunit, N-terminal domain"
PF02767,CL0060,DNA_clamp,DNA_pol3_beta_2,"DNA polymerase III beta subunit, central domain"
PF02768,CL0060,DNA_clamp,DNA_pol3_beta_3,"DNA polymerase III beta subunit, C-terminal domain"
PF06144,CL0023,P-loop_NTPase,DNA_pol3_delta,"DNA polymerase III, delta subunit"
PF13177,CL0023,P-loop_NTPase,DNA_pol3_delta2,"DNA polymerase III, delta subunit"
PF17657,,,DNA_pol3_finger,Bacterial DNA polymerase III alpha subunit finger domain
PF12169,CL0604,post-AAA,DNA_pol3_gamma3,DNA polymerase III subunits gamma and tau domain III
PF00476,,,DNA_pol_A,DNA polymerase family A
PF01612,CL0219,RNase_H,DNA_pol_A_exo1,3'-5' exonuclease
PF10108,CL0219,RNase_H,DNA_pol_B_exo2,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
PF02481,CL0349,SLOG,DNA_processg_A,DNA recombination-mediator protein A
PF00521,,,DNA_topoisoIV,"DNA gyrase/topoisomerase IV, subunit A"
PF01712,CL0023,P-loop_NTPase,dNK,Deoxynucleoside kinase
PF07311,CL0319,SHS2,Dodecin,Dodecin
PF07681,CL0131,DoxD-like,DoxX,DoxX
PF13564,CL0131,DoxD-like,DoxX_2,DoxX-like family
PF00930,CL0186,Beta_propeller,DPPIV_N,Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF17782,CL0123,HTH,DprA_WH,DprA winged helix domain
PF02635,CL0394,DsrEFH-like,DrsE,DsrE/DsrF-like family
PF07085,CL0365,MurF-HprK_N,DRTGG,DRTGG domain
PF11412,CL0159,E-set,DsbC,Disulphide bond corrector protein DsbC
PF02683,CL0292,LysE,DsbD,Cytochrome C biogenesis protein transmembrane region
PF00035,CL0196,DSRM,dsrm,Double-stranded RNA binding motif
PF00908,CL0029,Cupin,dTDP_sugar_isom,"dTDP-4-dehydrorhamnose 3,5-epimerase"
PF06245,,,DUF1015,Protein of unknown function (DUF1015)
PF06267,,,DUF1028,Family of unknown function (DUF1028)
PF01345,CL0159,E-set,DUF11,Domain of unknown function DUF11
PF06764,CL0172,Thioredoxin,DUF1223,Protein of unknown function (DUF1223)
PF06940,CL0125,Peptidase_CA,DUF1287,Domain of unknown function (DUF1287)
PF07044,CL0048,LolA_LolB,DUF1329,Protein of unknown function (DUF1329)
PF07063,CL0104,Glyoxalase,DUF1338,Domain of unknown function (DUF1338)
PF07075,,,DUF1343,Protein of unknown function (DUF1343)
PF07099,,,DUF1361,Protein of unknown function (DUF1361)
PF07308,,,DUF1456,Protein of unknown function (DUF1456)
PF07313,CL0125,Peptidase_CA,DUF1460,Protein of unknown function (DUF1460)
PF02576,,,DUF150,RimP N-terminal domain
PF07394,CL0088,Alk_phosphatase,DUF1501,Protein of unknown function (DUF1501)
PF07411,,,DUF1508,Domain of unknown function (DUF1508)
PF17384,CL0010,SH3,DUF150_C,RimP C-terminal SH3 domain
PF02577,,,DUF151,Domain of unknown function (DUF151)
PF07606,CL0310,DinB,DUF1569,Protein of unknown function (DUF1569)
PF07609,CL0310,DinB,DUF1572,Protein of unknown function (DUF1572)
PF07610,CL0556,PapD-like,DUF1573,Protein of unknown function (DUF1573)
PF07659,,,DUF1599,Nucleotide modification associated domain 1
PF07786,CL0316,Acyl_transf_3,DUF1624,Protein of unknown function (DUF1624)
PF07920,,,DUF1684,Protein of unknown function (DUF1684)
PF08331,,,DUF1730,Domain of unknown function (DUF1730)
PF08338,,,DUF1731,Domain of unknown function (DUF1731)
PF08340,,,DUF1732,Domain of unknown function (DUF1732)
PF08592,,,DUF1772,Domain of unknown function (DUF1772)
PF08643,CL0063,NADP_Rossmann,DUF1776,Fungal family of unknown function (DUF1776)
PF02622,,,DUF179,"Uncharacterized ACR, COG1678"
PF08811,,,DUF1800,Protein of unknown function (DUF1800)
PF08818,CL0631,YgaC_TfoX-N,DUF1801,Domain of unknown function (DU1801)
PF08907,,,DUF1853,Domain of unknown function (DUF1853)
PF08940,CL0624,CcdB_PemK,DUF1918,Domain of unknown function (DUF1918)
PF02643,,,DUF192,"Uncharacterized ACR, COG1430"
PF09154,CL0369,GHD,DUF1939,Domain of unknown function (DUF1939)
PF09413,CL0089,GlnB-like,DUF2007,Putative prokaryotic signal transducing protein 
PF09430,CL0287,Transthyretin,DUF2012,Protein of unknown function (DUF2012)
PF09630,,,DUF2024,Domain of unknown function (DUF2024)
PF09834,,,DUF2061,Predicted membrane protein (DUF2061)
PF09835,,,DUF2062,Uncharacterized protein conserved in bacteria (DUF2062)
PF09837,CL0110,GT-A,DUF2064,Uncharacterized protein conserved in bacteria (DUF2064)
PF09848,CL0023,P-loop_NTPase,DUF2075,Uncharacterized conserved protein (DUF2075)
PF01595,,,DUF21,Cyclin M transmembrane N-terminal domain
PF09891,CL0105,Hybrid,DUF2118,Uncharacterized protein conserved in archaea (DUF2118)
PF09917,CL0116,Calycin,DUF2147,Uncharacterized protein conserved in bacteria (DUF2147)
PF02698,,,DUF218,DUF218 domain
PF09949,,,DUF2183,Uncharacterized conserved protein (DUF2183)
PF09966,,,DUF2200,Uncharacterized protein conserved in bacteria (DUF2200)
PF09994,CL0028,AB_hydrolase,DUF2235,Uncharacterized alpha/beta hydrolase domain (DUF2235)
PF10021,CL0223,MACRO,DUF2263,Uncharacterized protein conserved in bacteria (DUF2263)
PF10029,CL0159,E-set,DUF2271,Predicted periplasmic protein (DUF2271)
PF10067,,,DUF2306,Predicted membrane protein (DUF2306)
PF10084,,,DUF2322,Uncharacterized protein conserved in bacteria (DUF2322)
PF10101,,,DUF2339,Predicted membrane protein (DUF2339)
PF10106,,,DUF2345,Uncharacterized protein conserved in bacteria (DUF2345)
PF09722,,,DUF2384,Protein of unknown function (DUF2384)
PF09674,,,DUF2400,Protein of unknown function (DUF2400)
PF09601,,,DUF2459,Protein of unknown function (DUF2459)
PF09365,,,DUF2461,Conserved hypothetical protein (DUF2461)
PF10652,,,DUF2480,Protein of unknown function (DUF2480)
PF10677,CL0193,MBB,DUF2490,Protein of unknown function (DUF2490)
PF10728,CL0106,6PGD_C,DUF2520,Domain of unknown function (DUF2520)
PF03235,CL0248,ParBc,DUF262,Protein of unknown function DUF262
PF10851,,,DUF2652,Protein of unknown function (DUF2652)   
PF11026,,,DUF2721,Protein of unknown function (DUF2721)
PF11028,CL0111,GT-C,DUF2723,Protein of unknown function (DUF2723)
PF11042,,,DUF2750,Protein of unknown function (DUF2750)
PF11387,,,DUF2795,Protein of unknown function (DUF2795)
PF10977,,,DUF2797,Protein of unknown function (DUF2797)
PF10988,CL0268,Pec_lyase-like,DUF2807,"Putative auto-transporter adhesin, head GIN domain"
PF10990,,,DUF2809,Protein of unknown function (DUF2809)
PF11009,CL0172,Thioredoxin,DUF2847,Protein of unknown function (DUF2847)
PF03382,CL0022,LRR,DUF285,"Mycoplasma protein of unknown function, DUF285"
PF11013,,,DUF2851,Protein of unknown function (DUF2851)
PF11015,,,DUF2853,Protein of unknown function (DUF2853)
PF11066,,,DUF2867,Protein of unknown function (DUF2867)
PF11199,,,DUF2891,Protein of unknown function (DUF2891)
PF11138,,,DUF2911,Protein of unknown function (DUF2911)
PF11153,,,DUF2931,Protein of unknown function (DUF2931)
PF03445,CL0260,NTP_transf,DUF294,Putative nucleotidyltransferase DUF294
PF10335,CL0291,KNTase_C,DUF294_C,Putative nucleotidyltransferase substrate binding domain
PF03625,,,DUF302,Domain of unknown function DUF302 
PF11276,CL0193,MBB,DUF3078,Protein of unknown function (DUF3078)
PF11288,CL0028,AB_hydrolase,DUF3089,Protein of unknown function (DUF3089)
PF11297,,,DUF3098,Protein of unknown function (DUF3098)
PF11306,CL0048,LolA_LolB,DUF3108,Protein of unknown function (DUF3108)
PF11307,,,DUF3109,Protein of unknown function (DUF3109)
PF11325,CL0021,OB,DUF3127,Domain of unknown function (DUF3127)
PF11335,,,DUF3137,Protein of unknown function (DUF3137) 
PF11680,CL0609,sPC4_like,DUF3276,Protein of unknown function (DUF3276)
PF11738,,,DUF3298,Protein of unknown function (DUF3298)
PF11818,,,DUF3340,C-terminal domain of tail specific protease (DUF3340)
PF11821,,,DUF3341,Protein of unknown function (DUF3341)
PF11827,,,DUF3347,Protein of unknown function (DUF3347)
PF11950,,,DUF3467,Protein of unknown function (DUF3467)
PF11954,,,DUF3471,Domain of unknown function (DUF3471)
PF11958,CL0004,Concanavalin,DUF3472,Domain of unknown function (DUF3472)
PF03993,,,DUF349,Domain of Unknown Function (DUF349)
PF12034,,,DUF3520,Domain of unknown function (DUF3520)
PF12040,CL0181,ABC-2,DUF3526,Domain of unknown function (DUF3526)
PF04007,CL0113,GT-B,DUF354,Protein of unknown function (DUF354)
PF12094,,,DUF3570,Protein of unknown function (DUF3570)
PF12412,,,DUF3667,Protein of unknown function (DUF3667)
PF04018,,,DUF368,Domain of unknown function (DUF368)
PF12458,,,DUF3686,ATPase involved in DNA repair 
PF12481,CL0052,NTN,DUF3700,Aluminium induced protein 
PF12725,CL0126,Peptidase_MA,DUF3810,Protein of unknown function (DUF3810)
PF12823,,,DUF3817,Domain of unknown function (DUF3817)
PF12864,,,DUF3822,Protein of unknown function (DUF3822)
PF12968,CL0020,TPR,DUF3856,Domain of Unknown Function (DUF3856)
PF12969,CL0672,p35,DUF3857,Domain of Unknown Function with PDB structure (DUF3857)
PF12970,,,DUF3858,Domain of Unknown Function with PDB structure (DUF3858)
PF04074,CL0029,Cupin,DUF386,YhcH/YjgK/YiaL
PF13026,CL0051,NTF2,DUF3887,Protein of unknown function (DUF3887)
PF04087,,,DUF389,Domain of unknown function (DUF389) 
PF13031,,,DUF3892,Protein of unknown function (DUF3892)
PF04134,,,DUF393,"Protein of unknown function, DUF393"
PF13163,,,DUF3999,Protein of unknown function (DUF3999)
PF13274,,,DUF4065,Protein of unknown function (DUF4065)
PF13448,,,DUF4114,Domain of unknown function (DUF4114)
PF13567,,,DUF4131,Domain of unknown function (DUF4131)
PF13598,CL0287,Transthyretin,DUF4139,Domain of unknown function (DUF4139)
PF13600,,,DUF4140,N-terminal domain of unknown function (DUF4140)
PF13689,,,DUF4154,YfiR/HmsC-like
PF13709,CL0014,Glutaminase_I,DUF4159,Domain of unknown function (DUF4159)
PF13732,,,DUF4162,Domain of unknown function (DUF4162)
PF13779,,,DUF4175,Domain of unknown function (DUF4175)
PF04235,CL0316,Acyl_transf_3,DUF418,Protein of unknown function (DUF418)
PF13852,,,DUF4197,Protein of unknown function (DUF4197)
PF10670,CL0287,Transthyretin,DUF4198,Domain of unknown function (DUF4198)
PF13858,,,DUF4199,Protein of unknown function (DUF4199)
PF04238,,,DUF420,Protein of unknown function (DUF420)
PF13875,CL0237,HD_PDEase,DUF4202,Domain of unknown function (DUF4202)
PF13937,,,DUF4212,Domain of unknown function (DUF4212)
PF04241,,,DUF423,Protein of unknown function (DUF423)
PF14053,,,DUF4248,Domain of unknown function (DUF4248)
PF14059,,,DUF4251,Domain of unknown function (DUF4251)
PF14060,,,DUF4252,Domain of unknown function (DUF4252)
PF14063,,,DUF4254,Protein of unknown function (DUF4254)
PF14080,,,DUF4261,Domain of unknown function (DUF4261)
PF14086,,,DUF4266,Domain of unknown function (DUF4266)
PF14092,CL0689,TSP3,DUF4270,Domain of unknown function (DUF4270)
PF14093,,,DUF4271,Domain of unknown function (DUF4271)
PF14094,,,DUF4272,Domain of unknown function (DUF4272)
PF14107,,,DUF4280,Domain of unknown function (DUF4280)
PF14114,,,DUF4286,Domain of unknown function (DUF4286)
PF14123,,,DUF4290,Domain of unknown function (DUF4290)
PF14124,,,DUF4291,Domain of unknown function (DUF4291)
PF14125,CL0048,LolA_LolB,DUF4292,Domain of unknown function (DUF4292)
PF14126,,,DUF4293,Domain of unknown function (DUF4293)
PF14127,,,DUF4294,Domain of unknown function (DUF4294)
PF14129,,,DUF4296,Domain of unknown function (DUF4296)
PF14134,,,DUF4301,Domain of unknown function (DUF4301)
PF14135,,,DUF4302,Domain of unknown function (DUF4302)
PF14248,,,DUF4345,Domain of unknown function (DUF4345)
PF14257,,,DUF4349,Domain of unknown function (DUF4349)
PF14258,,,DUF4350,Domain of unknown function (DUF4350)
PF14280,,,DUF4365,Domain of unknown function (DUF4365)
PF14289,,,DUF4369,Domain of unknown function (DUF4369)
PF14298,,,DUF4374,Domain of unknown function (DUF4374)
PF14300,,,DUF4375,Domain of unknown function (DUF4375)
PF14329,,,DUF4386,Domain of unknown function (DUF4386)
PF14534,CL0051,NTF2,DUF4440,Domain of unknown function (DUF4440)
PF14539,CL0050,HotDog,DUF4442,Domain of unknown function (DUF4442)
PF14902,,,DUF4494,Domain of unknown function (DUF4494)
PF15418,CL0159,E-set,DUF4625,Domain of unknown function (DUF4625)
PF16118,,,DUF4834,Domain of unknown function (DUF4834)
PF16119,,,DUF4835,Domain of unknown function (DUF4835)
PF16125,,,DUF4837,Domain of unknown function (DUF4837)
PF16132,CL0594,DUF1735,DUF4843,Domain of unknown function (DUF4843)
PF16138,,,DUF4846,Domain of unknown function (4846)
PF16148,,,DUF4856,Domain of unknown function (DUF4856)
PF09685,,,DUF4870,Domain of unknown function (DUF4870) 
PF16169,,,DUF4872,Domain of unknown function (DUF4872)
PF16267,,,DUF4920,Domain of unknown function (DUF4920)
PF04359,CL0070,ACT,DUF493,Protein of unknown function (DUF493)
PF16286,,,DUF4932,Domain of unknown function (DUF4932)
PF16313,CL0126,Peptidase_MA,DUF4953,Met-zincin
PF16338,CL0103,Gal_mutarotase,DUF4968,Domain of unknown function (DUF4968)
PF16344,,,DUF4974,Domain of unknown function (DUF4974)
PF16347,CL0088,Alk_phosphatase,DUF4976,Domain of unknown function (DUF4976)
PF16401,CL0316,Acyl_transf_3,DUF5009,Domain of unknown function (DUF5009)
PF18099,CL0202,GBD,DUF5010_C,DUF5010 C-terminal domain
PF16403,CL0159,E-set,DUF5011,Domain of unknown function (DUF5011)
PF16410,,,DUF5018,Domain of unknown function (DUF5018)
PF16473,CL0219,RNase_H,DUF5051,"3' exoribonuclease, RNase T-like"
PF16871,CL0202,GBD,DUF5077,Domain of unknown function (DUF5077)
PF17116,,,DUF5103,Domain of unknown function (DUF5103)
PF17137,,,DUF5110,Domain of unknown function (DUF5110)
PF17148,,,DUF5117,Domain of unknown function (DUF5117)
PF17162,,,DUF5118,Domain of unknown function (DUF5118)
PF04379,CL0159,E-set,DUF525,ApaG domain 
PF04480,CL0236,PDDEXK,DUF559,Protein of unknown function (DUF559)
PF18127,,,DUF5598,Domain of unknown function (DUF5598)
PF18347,,,DUF5606,Domain of unknown function (DUF5606)
PF18899,CL0631,YgaC_TfoX-N,DUF5655,Domain of unknown function (DUF5655)
PF18935,,,DUF5683,Family of unknown function (DUF5683)
PF18936,,,DUF5684,Family of unknown function (DUF5684)
PF18939,,,DUF5686,Family of unknown function (DUF5686)
PF18942,,,DUF5689,Family of unknown function (DUF5689)
PF18950,,,DUF5694,Family of unknown function (DUF5694)
PF18958,CL0126,Peptidase_MA,DUF5700,Putative zinc dependent peptidase (DUF5700)
PF18967,,,DUF5706,Family of unknown function (DUF5706)
PF18976,,,DUF5712,Family of unknown function (DUF5712)
PF18990,,,DUF5723,Family of unknown function (DUF5723)
PF01882,CL0128,vWA-like,DUF58,Protein of unknown function DUF58
PF01904,,,DUF72,Protein of unknown function DUF72
PF05598,,,DUF772,Transposase domain (DUF772)
PF05610,,,DUF779,Protein of unknown function (DUF779)
PF05656,,,DUF805,Protein of unknown function (DUF805)
PF05684,CL0064,CPA_AT,DUF819,Protein of unknown function (DUF819)
PF05872,CL0023,P-loop_NTPase,DUF853,Bacterial protein of unknown function (DUF853)
PF01935,CL0023,P-loop_NTPase,DUF87,"Helicase HerA, central domain"
PF05960,CL0126,Peptidase_MA,DUF885,Bacterial protein of unknown function (DUF885)
PF06078,,,DUF937,Bacterial protein of unknown function (DUF937)
PF06170,,,DUF983,Protein of unknown function (DUF983)
PF01207,CL0036,TIM_barrel,Dus,Dihydrouridine synthase (Dus)
PF00692,CL0153,dUTPase,dUTPase,dUTPase
PF08761,CL0231,MazG,dUTPase_2,dUTPase
PF13292,CL0254,THDP-binding,DXP_synthase_N,1-deoxy-D-xylulose-5-phosphate synthase
PF00350,CL0023,P-loop_NTPase,Dynamin_N,Dynamin family
PF00676,CL0254,THDP-binding,E1_dh,Dehydrogenase E1 component
PF02817,,,E3_binding,e3 binding domain
PF00892,CL0184,DMT,EamA,EamA-like transporter family
PF00378,CL0127,ClpP_crotonase,ECH_1,Enoyl-CoA hydratase/isomerase
